compound_id,smiles
ZINC000000056550,C/C=C/c1cc(OC)c(OC)cc1OC
ZINC000000056592,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1
ZINC000000056654,COc1c2occc2c(OC)c2c(=O)cc(C)oc12
ZINC000000057060,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
ZINC000000057146,Cn1c(=O)c2c(ncn2C[C@H](O)CO)n(C)c1=O
ZINC000000057147,Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O
ZINC000000057165,COC(=O)c1cc(OC)c(OC)c(OC)c1
ZINC000000057359,CC(=O)/C=C/[C@@]1(O)C(C)=CC(=O)CC1(C)C
ZINC000000057530,COc1ccc(C[C@@H]2NCCc3cc(OC)c(OC)cc32)cc1OC
ZINC000000057531,COc1ccc(C[C@H]2NCCc3cc(OC)c(OC)cc32)cc1OC
ZINC000000057588,COc1ccc(-c2coc3cc(OC)ccc3c2=O)cc1
ZINC000000057624,NC[C@H](O)c1ccc(O)c(O)c1
ZINC000000057633,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O
ZINC000000057652,O=c1cc(-c2ccc(O)cc2)oc2cccc(O)c12
ZINC000000057657,O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12
ZINC000000057658,O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12
ZINC000000057674,O=c1cc(-c2ccccc2)oc2ccccc12
ZINC000000057675,O=c1c(O)c(-c2ccccc2)oc2ccccc12
ZINC000000057677,O=c1cc(-c2ccccc2)oc2ccc(O)cc12
ZINC000000057731,COc1c2ccoc2cc2oc(=O)ccc12
ZINC000000057733,COc1cc2ccc(=O)oc2cc1O
ZINC000000057740,Cc1ccc2oc(=O)ccc2c1
ZINC000000057753,O=c1ccc2ccc(O)c(O)c2o1
ZINC000000057754,COc1cc(OC)c2ccc(=O)oc2c1
ZINC000000057908,O=c1ccc2cc(O)c(O)cc2o1
ZINC000000058049,COc1ccc2c(C)cc(=O)oc2c1
ZINC000000058111,O=c1ccc2ccc(O)cc2o1
ZINC000000058113,O=C1C[C@H](c2ccccc2)Oc2ccccc21
ZINC000000058114,O=C1C[C@@H](c2ccccc2)Oc2ccccc21
ZINC000000058117,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
ZINC000000058118,COc1cc2oc(-c3ccccc3)cc(=O)c2c(OC)c1OC
ZINC000000058121,Cc1cc(=O)oc2cc(O)ccc12
ZINC000000058124,Cc1cc(=O)oc2c(O)c(O)ccc12
ZINC000000058125,Cc1cc(=O)oc2cc(O)c(O)cc12
ZINC000000058126,Cc1cc(=O)oc2cc(O)cc(O)c12
ZINC000000058172,O=C(O)/C=C/c1ccc(O)c(O)c1
ZINC000000058187,CC1=CC(=O)c2c(O)cccc2C1=O
ZINC000000058258,COc1cc(/C=C/C(=O)O)ccc1O
ZINC000000066126,COC(=O)c1c[nH]c2ccccc12
ZINC000000067688,O=C(O)c1cc2ccccc2oc1=O
ZINC000000073686,CN(C)Cc1c[nH]c2ccccc12
